En quelle année Hitler arrive-t'il au pouvoir ?,1933,1933,1933
Qui est chargé de diriger le mouvement résistant en France ?,Jean Moulin,Moulin,Moulin Jean
Quel nom l'alliance formée par l'Allemagne; l'Italie et le Japon porte-t-elle ?,L'Axe,Axe,l'axe
En France; qui signe l'armistice le 22 juin 1940 ?,Philippe Pétain,Pétain,petain
Où se déroule la bataille qui a lieu de juillet 1942 à février 1943 ?,Stalingrad,la bataille de Stalingrad,stalingrad
Depuis quelle ville Charles De Gaulle à t'il passé l'appel du 18 juin 1940 ?,Londres,london,londres
Les bombes atomiques sont lancées sur Hiroshima et Nagasaki en (mois et année)?,août 1945,aout 1945,aout 45
Comment se nomme la police politique du IIIème Reich ?,La Gestapo,Gestapo,gestapo
Qui dirigeait l'URSS pendant la Seconde Guerre mondiale ?,Joseph Staline,Staline,J Staline
Dans quelle région de France les Américains ont-ils débarqué le 6 juin 1944 ?,Normandie,la Normandie,en Normandie
Quel est le nom de la ligne de fortifications construite par les Français après la Première Guerre mondiale ?,La ligne Maginot,Maginot,ligne maginot
En quelle année a eu lieu la Révolution Française ?,1789,1789,1789
Quand fut signé l'Edit de Nantes ?,1598,1598,1598
Quel Roi était surnommé le Roi Soleil ?,Louis XIV,Louis 14,Louis quatorze
En quelle année Napoléon Ier devient-il empereur ?,1804,1804,1804
Où se faisaient couronner les Rois de France ?,Reims,Reims,Reims
Qui fût le premier Roi de France ?,Clovis,Clovis,Clovis
Quand a commencé la Vème République ?,1958,1958,1958
En quelle année est mort Louis XIV ?,1715,1715,1715
Quelle bataille fût remportée par la France en 1515 ?,Marignan,la bataille de Marignan,bataille de Marignan
Quel Roi est à l'origine de la Renaissance Française ?,François Ier,François 1er,François premier
Quel Roi a été surnommé le Bien-Aimé ?,Louis XV,Louis 15,Louis quinze
